#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
60;01:08:08.3;-14:31:50.1;0.807565;7.70e-17;J0108-1431;J0108-1431;*;*;*;
61;01:08:22.6;+66:08:34.0;1.283660;1.31e-14;B0105+65;J0108+6608;*;*;*;
62;01:08:29.5;+69:05:52.6;1.071118;4.81e-17;B0105+68;J0108+6905;*;*;*;
63;01:11:28.7;-71:31:46.8;0.688542;7.09e-15;J0111-7131;J0111-7131;*;*;*;
64;01:12;+66:22;4.301240;*;J0112+66;J0112+66;*;*;*;
65;01:13:11.0;-72:20:32.2;0.325883;4.86e-15;J0113-7220;J0113-7220;*;*;*;
66;01:17:38.6;+59:14:38.3;0.101439;5.85e-15;B0114+58;J0117+5914;*;*;*;
67;01:26;+62:35;1.708233;*;J0125+62;J0125+62;*;*;*;
68;01:31:28.5;-73:10:09.3;0.348124;1.76e-15;J0131-7310;J0131-7310;*;*;*;
69;01:33:32.4;-69:57:29.6;0.463474;1.20e-16;J0133-6957;J0133-6957;*;*;*;
70;01:34:18.6;-29:37:17.0;0.136962;7.84e-17;J0134-2937;J0134-2937;*;*;*;
71;01:36;+63:42;0.717895;*;J0136+63;J0136+63;*;*;*;
72;01:37:23.8;+16:54:42.1;0.414763;1.22e-17;J0137+1654;J0137+1654;*;*;*;
73;01:39:38.5;+56:21:36.8;1.775344;7.91e-14;J0139+5621;J0139+5621;*;*;*;
74;01:39:19.7;+58:14:31.8;0.272451;1.07e-14;B0136+57;J0139+5814;*;*;*;
75;01:41:39.9;+60:09:32.3;1.222949;3.91e-16;B0138+59;J0141+6009;*;*;*;
76;01:41;+63:08;0.046686;*;J0141+63;J0141+63;*;*;*;
77;01:46:15;+31:04;0.938100;*;J0146+31;J0146+31;*;*;*;
78;01:46:22.4;+61:45:02.8;8.688994;1.99e-12;J0146+6145;J0146+6145;AXP,NRAD;*;*;
