#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
659;13:27:07.4;-63:01:15.3;0.196479;1.53e-15;B1323-627;J1327-6301;*;*;*;
660;13:27:10.2;-64:00:13.1;0.280678;3.12e-14;J1327-6400;J1327-6400;*;*;*;
661;13:28:06.4;-43:57:44.1;0.532699;3.01e-15;B1325-43;J1328-4357;*;*;*;
662;13:28:33.5;-49:21:33.4;1.478721;6.10e-16;B1325-49;J1328-4921;*;*;*;
663;13:29:03.3;-61:58:59;1.565218;3.39e-14;J1329-6158;J1329-6158;*;*;*;
664;13:31:00.0;-52:45:25.4;0.648117;5.10e-16;J1331-5245;J1331-5245;*;*;*;
665;13:32;-03:26;1.106400;*;J1332-03;J1332-03;RRAT;*;*;
666;13:32:52.4;-30:32:17.3;0.650434;5.60e-16;J1332-3032;J1332-3032;*;*;*;
667;13:33:44.8;-44:49:26.2;0.345603;5.40e-19;J1333-4449;J1333-4449;*;*;*;
668;13:34:30.1;-58:39:16.5;0.107718;2.16e-17;J1334-5839;J1334-5839;*;*;*;
669;13:35:36;-36:42;0.399192;*;J1335-3642;J1335-3642;*;*;*;
670;13:37:06;-44:43;1.257520;*;J1337-44;J1337-44;*;*;*;
671;13:37:20.3;-63:06:23.3;0.207953;3.56e-16;J1337-6306;J1337-6306;*;*;*;
672;13:37:31.8;-64:23:04.9;0.009423;2.47e-20;J1337-6423;J1337-6423;*;ELL1;4.7853;
673;13:38:09.3;-62:04:18.7;1.238990;1.39e-14;B1334-61;J1338-6204;*;*;*;
674;13:39:56.5;-47:12:05.5;0.137055;5.30e-19;J1339-4712;J1339-4712;*;*;*;
675;13:39:56.6;-66:18:07.8;0.558179;3.50e-16;J1339-6618;J1339-6618;*;*;*;
676;13:40:00.3;-64:56:42.9;0.378622;5.05e-15;B1336-64;J1340-6456;*;*;*;
677;13:41:07.3;-60:23:34.7;0.627285;1.95e-14;J1341-6023;J1341-6023;*;*;*;
678;13:41:42.6;-62:20:20.7;0.193340;2.53e-13;B1338-62;J1341-6220;*;*;*;
679;13:42:11;+28:22:32;0.002545;*;J1342+2822A;J1342+2822A;*;*;*;
680;13:42:11.0;+28:22:40.1;0.002389;1.86e-20;J1342+2822B;J1342+2822B;*;ELL1;1.4174;
681;13:42:11;+28:22:32;0.002166;*;J1342+2822C;J1342+2822C;*;*;*;
682;13:42:10.2;+28:22:36;0.005443;*;J1342+2822D;J1342+2822D;*;DD;128.7520;
683;13:44:39.6;-60:59:31;0.540102;4.30e-17;J1344-6059;J1344-6059;*;*;*;
684;13:45:44.4;-61:15:30.6;1.253085;3.25e-15;J1345-6115;J1345-6115;*;*;*;
685;13:46:22.3;-49:18:07.2;0.299625;3.50e-17;J1346-4918;J1346-4918;*;*;*;
686;13:47:19.3;-59:47:39.8;0.609962;1.42e-14;J1347-5947;J1347-5947;*;*;*;
687;13:48:42.4;-63:07:04;0.927772;3.79e-15;J1348-6307;J1348-6307;*;*;*;
688;13:49:36.6;-61:30:17.1;0.259363;5.13e-15;J1349-6130;J1349-6130;*;*;*;
689;13:49:18;-63:56;0.373034;*;J1349-63;J1349-63;*;*;*;
690;13:50:16.1;-51:15:24.7;0.295699;7.53e-16;J1350-5115;J1350-5115;*;*;*;
691;13:50:44.4;-62:25:43.8;0.138158;8.88e-15;J1350-6225;J1350-6225;NRAD;*;*;
692;13:52:34.4;-68:03:37.1;0.628903;1.23e-15;J1352-6803;J1352-6803;*;*;*;
693;13:54:35;-62:49:30;2.951938;1.48e-14;J1354-6249;J1354-6249;*;*;*;
694;13:55:58.6;-51:53:53.8;0.644301;2.81e-15;B1352-51;J1355-5153;*;*;*;
695;13:55:36.9;-57:47:15;2.038674;7.15e-16;J1355-5747;J1355-5747;*;*;*;
696;13:55:59.1;-59:25:00.9;1.213381;5.99e-15;J1355-5925;J1355-5925;*;*;*;
697;13:55:21.3;-62:06:20.1;0.276603;3.10e-18;J1355-6206;J1355-6206;*;*;*;
698;13:56:50.5;-55:21:12.9;0.507380;7.24e-16;J1356-5521;J1356-5521;*;*;*;
699;13:57:25;-62:28;0.455761;*;B1353-62;J1357-62;*;*;*;
700;13:57:02.4;-64:29:30.2;0.166108;3.60e-13;J1357-6429;J1357-6429;HE[lzg+11];*;*;
701;13:58:42;-25:33;0.912971;*;J1358-2533;J1358-2533;*;*;*;
702;13:59:58.2;-60:38:08.0;0.127501;6.34e-15;B1356-60;J1359-6038;*;*;*;
703;14:00:37.0;-14:31:47.0;0.003084;7.23e-21;J1400-1431;J1400-1431;*;ELL1;9.5475;
704;14:00:45.6;-63:25:42.6;0.031182;3.89e-14;J1400-6325;J1400-6325;HE;*;*;
705;14:01:52.4;-63:57:45.5;0.842790;1.67e-14;B1358-63;J1401-6357;*;*;*;
706;14:02:57;-51:24;1.380177;*;B1359-51;J1402-5124;*;*;*;
707;14:03:14.0;-63:10:27;0.399170;9.00e-17;J1403-6310;J1403-6310;*;*;*;
708;14:03:04.1;-76:46:57.5;1.306198;1.20e-15;J1403-7646;J1403-7646;*;*;*;
709;14:04:36.9;+11:59:15.3;2.650439;1.37e-15;J1404+1159;J1404+1159;*;*;*;
710;14:05:48;-42:33;2.346800;*;J1405-42;J1405-42;*;*;*;
711;14:05:21.4;-46:56:02.3;0.007602;2.79e-20;J1405-4656;J1405-4656;*;ELL1;8.9564;
712;14:05:12.4;-56:41:24.2;0.617575;1.20e-15;J1405-5641;J1405-5641;*;*;*;
713;14:06:01.2;-58:06:32;0.288349;6.11e-16;J1406-5806;J1406-5806;*;*;*;
714;14:06:50.0;-61:21:27.9;0.213075;5.47e-14;J1406-6121;J1406-6121;*;*;*;
715;14:07:58.6;-60:48:58.8;0.492344;3.16e-15;J1407-6048;J1407-6048;*;*;*;
716;14:07:56.5;-61:53:59;0.701615;8.85e-15;J1407-6153;J1407-6153;*;*;*;
717;14:09:16.9;-69:53:34.4;0.528591;8.40e-16;J1409-6953;J1409-6953;*;*;*;
718;14:10:24;-61:32;0.050052;3.20e-14;J1410-6132;J1410-6132;*;*;*;
719;14:10:07.3;-74:04:53.3;0.278729;6.74e-18;J1410-7404;J1410-7404;*;*;*;
720;14:11:18.8;+25:51:08.3;0.062453;9.56e-20;J1411+2551;J1411+2551;*;DD;2.6159;
721;14:12:59.6;-61:11:30.5;0.529156;1.91e-15;J1412-6111;J1412-6111;*;*;*;
722;14:12:07.6;-61:45:28.8;0.315225;9.87e-14;J1412-6145;J1412-6145;*;*;*;
723;14:12:55.8;+79:22:03.7;0.059198;4.00e-19;J1412+7922;J1412+7922;NRAD;*;*;
724;14:13:09.8;-61:41:13;0.285625;3.33e-13;J1413-6141;J1413-6141;*;*;*;
725;14:13:29.9;-62:05:38;0.109741;2.77e-14;J1413-6205;J1413-6205;NRAD;*;*;
726;14:13:05.4;-62:22:27.8;0.292408;2.23e-15;J1413-6222;J1413-6222;*;*;*;
727;14:13:31.3;-63:07:35.4;0.394946;7.43e-15;B1409-62;J1413-6307;*;*;*;
728;14:14:25.7;-68:02:58;4.630188;6.39e-15;J1414-6802;J1414-6802;*;*;*;
729;14:15:31.2;-66:21:12.2;0.392479;5.80e-16;J1415-6621;J1415-6621;*;*;*;
730;14:16:44.6;-50:33:17;0.794883;1.20e-16;J1416-5033;J1416-5033;*;*;*;
731;14:16:30.5;-60:37:59.5;0.295580;4.28e-15;J1416-6037;J1416-6037;*;*;*;
732;14:17:30.6;-44:02:57.4;0.002664;*;J1417-4402;J1417-4402;*;ELL1;5.3737;
733;14:18:50.2;-39:21:18.5;1.096806;8.89e-16;J1418-3921;J1418-3921;*;*;*;
734;14:18:32.3;-59:45:00;1.672596;2.71e-16;J1418-5945;J1418-5945;*;*;*;
735;14:18:42.7;-60:57:49;0.110573;1.69e-13;J1418-6058;J1418-6058;NRAD;*;*;
736;14:20:29.1;-54:16:23;0.935772;2.37e-16;B1417-54;J1420-5416;*;*;*;
737;14:20:03.0;-56:25:55.0;0.034117;6.75e-20;J1420-5625;J1420-5625;*;BT;40.2945;
738;14:20:08.2;-60:48:16.4;0.068180;8.32e-14;J1420-6048;J1420-6048;HE[rrj01,waa+10];*;*;
739;14:21:20.9;-44:09:04.5;0.006386;1.27e-20;J1421-4409;J1421-4409;*;ELL1;30.7465;
740;14:22:27.0;-61:38:28;0.340968;9.68e-14;J1422-6138;J1422-6138;NRAD;*;*;
741;14:23:26.7;-69:53:42.8;0.333411;1.45e-15;J1423-6953;J1423-6953;*;*;*;
742;14:24:12.7;-55:56:13.9;0.770375;7.80e-16;J1424-5556;J1424-5556;*;*;*;
743;14:24:23;-56:40:47;1.427000;*;J1424-56;J1424-56;RRAT;*;*;
744;14:24:32.1;-58:22:56.0;0.366734;3.94e-15;J1424-5822;J1424-5822;*;*;*;
745;14:24:59.2;-64:38:10.0;1.023504;2.40e-16;J1424-6438;J1424-6438;*;*;*;
746;14:25:36.5;-57:23:30.8;0.353263;2.20e-17;J1425-5723;J1425-5723;*;*;*;
747;14:25:59.1;-57:59:10.2;0.707868;7.42e-16;J1425-5759;J1425-5759;*;*;*;
748;14:25:07.7;-62:10:04.9;0.501730;4.78e-16;J1425-6210;J1425-6210;*;*;*;
749;14:27:50.7;-41:58:56.3;0.586486;6.21e-16;J1427-4158;J1427-4158;*;*;*;
750;14:28:26.2;-55:30:50.2;0.570290;2.08e-15;B1424-55;J1428-5530;*;*;*;
751;14:29:58.6;-59:11:36.6;0.115843;3.05e-14;J1429-5911;J1429-5911;NRAD;*;*;
752;14:29:25.9;-59:35:58.9;0.763915;4.28e-14;J1429-5935;J1429-5935;*;*;*;
753;14:30:40.8;-66:23:05.0;0.785441;2.77e-15;B1426-66;J1430-6623;*;*;*;
754;14:31:44.6;-47:15:27.5;0.002012;1.41e-20;J1431-4715;J1431-4715;*;ELL1;0.4497;
755;14:31:03.4;-57:40:11.6;0.004111;6.42e-21;J1431-5740;J1431-5740;*;BT;2.7269;
756;14:32:52.2;-50:32:17.3;2.034989;5.92e-15;J1432-5032;J1432-5032;*;*;*;
757;14:33:30;+00:28;*;*;J1433+00;J1433+00;RRAT[dsm+16];*;*;
758;14:33:13.1;-60:38:34.7;1.954430;5.63e-15;J1433-6038;J1433-6038;*;*;*;
759;14:34:05.3;-60:06:29.0;0.306368;3.02e-15;J1434-6006;J1434-6006;*;*;*;
760;14:34:39.1;-60:29:49;0.963348;1.03e-15;J1434-6029;J1434-6029;*;*;*;
761;14:33:59.7;+72:57:26.5;0.041741;5.50e-19;J1434+7257;J1434+7257;*;*;*;
762;14:35:00.3;-59:54:49.2;0.472995;1.54e-15;J1435-5954;J1435-5954;*;*;*;
763;14:35:20.2;-61:00:57.9;0.009348;2.45e-20;J1435-6100;J1435-6100;*;ELL1;1.3549;
764;14:37:01.9;-59:59:01.4;0.061696;8.59e-15;J1437-5959;J1437-5959;*;*;*;
765;14:37:15.3;-61:46:02.0;0.467616;6.33e-15;J1437-6146;J1437-6146;*;*;*;
766;14:39:39.7;-55:01:23.6;0.028635;1.42e-19;J1439-5501;J1439-5501;*;ELL1;2.1179;
767;14:39;+76:55;0.947903;*;J1439+76;J1439+76;RRAT;*;*;
768;14:40:31.3;-63:44:47.6;0.459605;1.12e-15;B1436-63;J1440-6344;*;*;*;
769;14:41:44.3;-61:37:24;1.175840;3.60e-16;J1441-6137;J1441-6137;*;*;*;
770;14:43:26.9;-51:22:26;0.732061;3.38e-16;J1443-5122;J1443-5122;*;*;*;
771;14:44:46.5;-59:41:19;2.760228;8.23e-15;J1444-5941;J1444-5941;*;*;*;
772;14:44:06.0;-60:26:09.4;4.758576;1.85e-14;J1444-6026;J1444-6026;RRAT;*;*;
773;14:46:35.7;-47:01:26.7;0.002195;9.81e-21;J1446-4701;J1446-4701;HE;ELL1;0.2777;
774;14:49:25.4;-58:46:40.4;0.463330;8.60e-17;J1449-5846;J1449-5846;*;*;*;
775;14:52:52.5;-58:51:13.3;0.386625;5.07e-14;J1452-5851;J1452-5851;*;*;*;
776;14:52:51.8;-60:36:31.3;0.154991;1.45e-15;J1452-6036;J1452-6036;*;*;*;
777;14:53:45.7;+19:02:12.1;0.005792;1.17e-20;J1453+1902;J1453+1902;*;*;*;
778;14:53:32.7;-64:13:15.5;0.179485;2.75e-15;B1449-64;J1453-6413;*;*;*;
779;14:54:10.9;-58:46:34.7;0.045249;8.17e-19;J1454-5846;J1454-5846;*;BT;12.4231;
780;14:55:47.9;-33:30:46.3;0.007987;2.43e-20;J1455-3330;J1455-3330;HE[lsg+15];DD;76.1746;
781;14:55:06;-59:23;0.176191;*;J1455-59;J1455-59;*;*;*;
782;14:56;-48:00;0.536810;*;J1456-48;J1456-48;*;*;*;
783;14:56:00.1;-68:43:39.2;0.263377;9.83e-17;B1451-68;J1456-6843;*;*;*;
784;14:57:40.1;-51:22:53;1.748301;5.29e-15;B1454-51;J1457-5122;*;*;*;
785;14:57:39.0;-59:00:51;1.498637;3.66e-15;J1457-5900;J1457-5900;*;*;*;
786;14:57:31.9;-59:02:04;0.390739;1.23e-14;J1457-5902;J1457-5902;*;*;*;
787;14:59:29.9;-60:53:20.7;0.103151;2.53e-14;J1459-6053;J1459-6053;NRAD;*;*;
788;15:01:44.9;-00:46:23.5;0.464037;2.39e-16;J1501-0046;J1501-0046;*;*;*;
789;15:01:51.0;-56:37:48;0.782949;1.70e-16;J1501-5637;J1501-5637;*;*;*;
790;15:02:57.3;-56:53:39.2;0.535504;1.83e-15;J1502-5653;J1502-5653;*;*;*;
791;15:02:43.8;-58:28:42;0.668105;3.64e-14;J1502-5828;J1502-5828;*;*;*;
792;15:02:29.8;-61:28:50.3;0.842104;1.35e-15;J1502-6128;J1502-6128;*;*;*;
793;15:02:18.6;-67:52:16.7;0.026744;3.15e-19;J1502-6752;J1502-6752;*;ELL1;2.4845;
794;15:03:54.6;+21:11:09.3;3.314002;1.40e-16;J1503+2111;J1503+2111;*;*;*;
795;15:04:49.1;-56:21:32;0.412985;5.53e-15;J1504-5621;J1504-5621;*;*;*;
796;15:06:39.5;-51:58:10;0.840739;6.37e-15;B1503-51;J1506-5158;*;*;*;
797;15:07:34.1;-43:52:03.2;0.286757;1.60e-15;B1504-43;J1507-4352;*;*;*;
798;15:07:48.6;-66:40:57.1;0.355655;1.16e-15;B1503-66;J1507-6640;*;*;*;
799;15:09:25.6;+55:31:32.3;0.739682;5.00e-15;B1508+55;J1509+5531;*;*;*;
800;15:09:27.1;-58:50:56.1;0.088922;9.17e-15;J1509-5850;J1509-5850;HE[waa+10];*;*;
801;15:09:07.5;-60:15:18.6;0.339038;2.12e-15;J1509-6015;J1509-6015;*;*;*;
802;15:10:48.9;-44:22:07;0.943871;6.10e-16;B1507-44;J1510-4422;*;*;*;
803;15:11:51.3;-54:14:40.3;0.200384;4.85e-16;J1511-5414;J1511-5414;*;*;*;
804;15:11:07.0;-58:35:28;0.301511;3.44e-16;J1511-5835;J1511-5835;*;*;*;
805;15:12:05.7;-54:31:19;2.040532;1.92e-15;J1512-5431;J1512-5431;*;*;*;
806;15:12:43.0;-57:59:59.8;0.128694;6.85e-15;B1508-57;J1512-5759;*;*;*;
807;15:13:58.9;-57:39:01.4;0.973458;2.75e-14;J1513-5739;J1513-5739;*;*;*;
808;15:13:55.6;-59:08:09.0;0.151251;1.53e-12;B1509-58;J1513-5908;HE[umw+93,ppp+09];*;*;
809;15:13:44.7;-59:46:31.9;1.046117;8.53e-15;J1513-5946;J1513-5946;RRAT;*;*;
810;15:14:14.5;-48:34:19.5;0.454839;9.25e-16;B1510-48;J1514-4834;*;*;*;
811;15:14:19.1;-49:46:15.5;0.003589;1.86e-20;J1514-4946;J1514-4946;HE;ELL1;1.9227;
812;15:14:59.1;-59:25:43.3;0.148796;2.88e-15;J1514-5925;J1514-5925;*;*;*;
813;15:15:09.3;-57:20:49;0.286646;6.10e-15;J1515-5720;J1515-5720;*;*;*;
814;15:17:27.3;-43:56:17.9;0.650837;2.16e-16;J1517-4356;J1517-4356;*;*;*;
815;15:17:29.3;-46:36:00.6;0.886612;2.10e-15;J1517-4636;J1517-4636;*;*;*;
816;15:18:33.3;+02:05:27.5;0.005554;4.12e-20;B1516+02A;J1518+0204A;*;*;*;
817;15:18:31.4;+02:05:15.4;0.007947;-3.33e-21;B1516+02B;J1518+0204B;*;BT;6.8585;
818;15:18:32.7;+02:04:47.8;0.002484;2.61e-20;J1518+0204C;J1518+0204C;*;ELL1;0.0868;
819;15:18:34;+02:04:58;0.002988;*;J1518+0204D;J1518+0204D;*;BT;1.2210;
820;15:18:34;+02:04:58;0.003182;*;J1518+0204E;J1518+0204E;*;BT;1.0960;
821;15:18:59.1;-06:27:07.7;0.794997;4.18e-16;J1518-0627;J1518-0627;*;*;*;
822;15:18:16.7;+49:04:34.2;0.040935;2.72e-20;J1518+4904;J1518+4904;*;DD;8.6340;
823;15:18:13.5;-54:15:45.0;0.214925;4.06e-17;J1518-5415;J1518-5415;*;*;*;
824;15:19:47.5;-57:34:13.6;0.518758;4.27e-15;J1519-5734;J1519-5734;*;*;*;
825;15:19:35.8;-61:06:54.6;2.154307;8.37e-15;J1519-6106;J1519-6106;*;*;*;
826;15:19:09.5;-63:08:19.5;1.254052;5.96e-15;J1519-6308;J1519-6308;*;*;*;
827;15:22:06.7;-55:25:17.5;1.389605;3.30e-15;J1522-5525;J1522-5525;*;*;*;
828;15:22:05.3;-57:35:00;0.102136;3.12e-14;J1522-5735;J1522-5735;NRAD;*;*;
829;15:22:42.2;-58:29:02.7;0.395353;2.00e-15;B1518-58;J1522-5829;*;*;*;
830;15:24:49.8;-56:25:23.4;0.078219;3.90e-14;J1524-5625;J1524-5625;*;*;*;
831;15:24:21.4;-57:06:35;1.116049;3.56e-13;J1524-5706;J1524-5706;*;*;*;
832;15:24:24.6;-58:19:14.1;0.961043;1.26e-13;J1524-5819;J1524-5819;*;*;*;
833;15:25:28.3;-54:17:20;1.011694;1.62e-14;J1525-5417;J1525-5417;*;*;*;
834;15:25:36.0;-55:23:27.2;0.355156;8.96e-18;J1525-5523;J1525-5523;*;*;*;
835;15:25:28.1;-55:45:49.8;0.011360;1.31e-19;J1525-5545;J1525-5545;*;ELL1;0.9903;
836;15:25:41.4;-56:05:13;0.280349;1.16e-16;J1525-5605;J1525-5605;*;*;*;
837;15:26:41.2;-56:33:43;0.301888;1.23e-16;J1526-5633;J1526-5633;*;*;*;
838;15:27:58.9;-39:31:35;2.417582;1.91e-14;B1524-39;J1527-3931;*;*;*;
839;15:27:40.9;-55:52:07;1.048705;1.13e-14;B1523-55;J1527-5552;*;*;*;
840;15:28:34.9;-31:46:06.8;0.060822;2.49e-19;J1528-3146;J1528-3146;*;DD;3.1803;
841;15:28:08.0;-41:09:28.8;0.526556;3.96e-16;J1528-4109;J1528-4109;*;*;*;
842;15:28:39.1;-55:47:23;3.467302;7.75e-15;J1528-5547;J1528-5547;*;*;*;
843;15:28:24.3;-58:38:01;0.355687;2.48e-14;J1528-5838;J1528-5838;NRAD;*;*;
844;15:29:15.1;-38:28:45.8;0.008486;2.70e-20;J1529-3828;J1529-3828;*;DD;119.6748;
845;15:29:57.6;-53:55:36;0.891265;8.10e-16;J1529-5355;J1529-5355;*;*;*;
846;15:29:35.8;-56:11:29;0.822249;4.10e-15;J1529-5611;J1529-5611;*;*;*;
847;15:30:26.8;-53:27:56.3;0.278957;4.68e-15;J1530-5327;J1530-5327;*;*;*;
848;15:30:52;-63:43:33;0.910300;*;J1530-63;J1530-63;*;*;*;
849;15:31:08.0;-40:12:30.9;0.356849;9.63e-17;J1531-4012;J1531-4012;*;*;*;
850;15:31:27.9;-56:10:55.0;0.084202;1.37e-14;J1531-5610;J1531-5610;*;*;*;
851;15:32:10.3;+27:45:49.4;1.124836;7.80e-16;B1530+27;J1532+2745;*;*;*;
852;15:32:35.5;-53:08:06;0.443825;6.50e-17;J1532-5308;J1532-5308;*;*;*;
853;15:32:18;-56:32;0.522977;*;J1532-56;J1532-56;*;*;*;
854;15:34:52.0;-44:28:09.4;1.221426;1.80e-16;J1534-4428;J1534-4428;*;*;*;
855;15:34:08;-46:14;0.364835;*;J1534-46;J1534-46;RRAT;*;*;
856;15:34:08.3;-53:34:19.3;1.368881;1.43e-15;B1530-53;J1534-5334;*;*;*;
857;15:34:33.5;-54:05:39.7;0.289689;1.54e-15;B1530-539;J1534-5405;*;*;*;
858;15:35:17.0;-41:14:03.1;0.432866;4.07e-15;J1535-4114;J1535-4114;*;*;*;
859;15:35:55.9;-44:15:08.4;0.468402;4.05e-17;J1535-4415;J1535-4415;*;*;*;
860;15:35:58.2;-54:50:26;0.566734;1.43e-14;J1535-5450;J1535-5450;*;*;*;
861;15:35:16.7;-58:48:27.7;0.307178;2.72e-15;J1535-5848;J1535-5848;*;*;*;
862;15:36:17.3;-36:02:58.8;1.319759;7.90e-16;J1536-3602;J1536-3602;*;*;*;
863;15:36;-49:48;0.003080;*;J1536-4948;J1536-4948;*;*;*;
864;15:36:04.8;-54:33:15;0.881438;1.91e-15;J1536-5433;J1536-5433;*;*;*;
865;15:36:17.7;-59:07:03.6;0.557841;1.37e-15;J1536-5907;J1536-5907;*;*;*;
866;15:37:09.9;+11:55:55.4;0.037904;2.42e-18;B1534+12;J1537+1155;*;DD;0.4207;
867;15:37:28.2;-49:12:03;0.301311;1.93e-15;J1537-4912;J1537-4912;*;*;*;
868;15:37:15.7;-51:53:06;1.528124;4.17e-15;J1537-5153;J1537-5153;*;*;*;
869;15:37:51.0;-56:45:04;0.430464;2.78e-15;J1537-5645;J1537-5645;*;*;*;
870;15:38:06.0;+23:45:04.0;3.449385;6.89e-15;J1538+2345;J1538+2345;RRAT;*;*;
871;15:38:48.9;-54:38:17;0.276726;1.42e-15;J1538-5438;J1538-5438;*;*;*;
872;15:38:40.8;-55:19:46;0.395731;4.10e-17;J1538-5519;J1538-5519;*;*;*;
873;15:38:45.0;-55:51:36.9;0.104675;3.21e-15;J1538-5551;J1538-5551;*;*;*;
874;15:38:43.2;-56:21:55.5;1.908494;7.31e-15;J1538-5621;J1538-5621;*;*;*;
875;15:38:05.7;-56:38:12;0.843980;7.12e-15;J1538-5638;J1538-5638;*;*;*;
876;15:38:18.1;-57:32:29.3;0.341213;4.55e-15;J1538-5732;J1538-5732;*;*;*;
877;15:38:08.4;-57:50:17.1;0.506568;4.20e-17;J1538-5750;J1538-5750;*;*;*;
878;15:39:40.8;-48:28:57;1.272842;1.27e-15;J1539-4828;J1539-4828;*;*;*;
879;15:39:07.9;-55:21:11.2;1.004958;7.28e-16;J1539-5521;J1539-5521;*;*;*;
880;15:39:13.9;-56:26:25.4;0.243392;4.85e-15;B1535-56;J1539-5626;*;*;*;
881;15:39:24.7;-63:22:53.2;1.630846;2.02e-16;J1539-6322;J1539-6322;*;*;*;
882;15:40:59.0;-57:36:57;0.612916;4.21e-16;J1540-5736;J1540-5736;*;*;*;
883;15:41:55;-42:18:50;*;*;J1541-42;J1541-42;RRAT;*;*;
884;15:41:49.6;-55:35:01;0.295838;7.50e-14;J1541-5535;J1541-5535;*;*;*;
885;15:42:45.4;-50:34:01.4;0.599245;3.97e-15;J1542-5034;J1542-5034;*;*;*;
886;15:42:19.9;-51:33:35;1.783865;5.89e-16;J1542-5133;J1542-5133;*;*;*;
887;15:42:54.5;-53:03:41;1.207568;7.78e-14;J1542-5303;J1542-5303;*;*;*;
888;15:43:30.1;-06:20:45.2;0.709064;8.80e-16;B1540-06;J1543-0620;*;*;*;
889;15:43:38.8;+09:29:16.3;0.748448;4.32e-16;B1541+09;J1543+0929;*;*;*;
890;15:43:58.2;-50:13:58;0.644255;1.01e-14;J1543-5013;J1543-5013;*;*;*;
891;15:43:44.1;-51:49:54.6;0.002057;1.62e-20;J1543-5149;J1543-5149;*;ELL1;8.0608;
892;15:43:56.2;-54:59:13.7;0.377119;5.20e-14;J1543-5459;J1543-5459;*;*;*;
893;15:44:04.4;+49:37:55.2;0.002159;2.93e-21;J1544+4937;J1544+4937;HE;ELL1;0.1208;
894;15:44:59.8;-53:08:46.5;0.178554;6.07e-17;B1541-52;J1544-5308;*;*;*;
895;15:45:55.9;-45:50:37.5;0.003575;5.25e-20;J1545-4550;J1545-4550;*;BT;6.2031;
896;15:46:03.4;-37:47:10.1;0.002606;*;J1546-3747A;J1546-3747A;*;BT;1.3467;
897;15:46:07.4;-53:02:23.0;0.580840;1.18e-14;J1546-5302;J1546-5302;*;*;*;
898;15:46;-59;0.007800;*;J1546-59;J1546-59;*;*;*;
899;15:47:46.0;-09:44:07.8;1.576925;2.94e-15;J1547-0944;J1547-0944;*;*;*;
900;15:47:30.6;-57:50:29.4;0.647198;2.56e-17;J1547-5750;J1547-5750;*;*;*;
901;15:47:34.9;-58:39:09.8;0.242190;5.94e-16;J1547-5839;J1547-5839;*;*;*;
902;15:48:23.2;-48:21:49.7;0.145655;8.00e-19;J1548-4821;J1548-4821;*;*;*;
903;15:48:19.4;-49:27:40.4;0.602738;4.05e-15;J1548-4927;J1548-4927;*;*;*;
904;15:48:44.0;-56:07:33.9;0.170934;1.07e-14;J1548-5607;J1548-5607;*;*;*;
905;15:49:40.9;+21:13:26.9;1.262471;8.54e-16;J1549+2113;J1549+2113;*;*;*;
906;15:49:21.1;-48:48:37.4;0.288347;1.41e-14;J1549-4848;J1549-4848;*;*;*;
907;15:49:05;-57:21:37;0.737500;*;J1549-57;J1549-57;RRAT;*;*;
908;15:49:47.9;-57:22:02;0.497772;4.70e-17;J1549-5722;J1549-5722;*;*;*;
909;15:50:02.9;-52:42:07.0;0.749659;1.78e-14;J1550-5242;J1550-5242;*;*;*;
910;15:50:04.8;-53:17:21;1.421124;9.35e-16;J1550-5317;J1550-5317;*;*;*;
911;15:50:54.1;-54:18:24.1;2.069833;2.32e-11;J1550-5418;J1550-5418;AXP,HE;*;*;
912;15:51:07.2;-06:58:06.5;0.007090;*;J1551-0658;J1551-0658;HE;*;*;
913;15:51:48.0;-44:24:42;0.674060;1.88e-16;J1551-4424;J1551-4424;*;*;*;
914;15:51:41.2;-53:10:59.6;0.453394;1.95e-13;J1551-5310;J1551-5310;*;*;*;
915;15:52:13.2;-49:37:49.7;0.006284;1.90e-20;J1552-4937;J1552-4937;*;*;*;
916;15:52:53.3;+54:37:05.7;0.002428;2.80e-21;J1552+5437;J1552+5437;HE[pbh+17];*;*;
917;15:52:38;-62:14:31;0.198800;*;J1552-62;J1552-62;*;*;*;
918;15:53:59.6;-54:56:06;1.081328;1.57e-14;B1550-54;J1553-5456;*;*;*;
919;15:54:17;+18:04;*;*;J1554+18;J1554+18;RRAT[dsm+16];*;*;
920;15:54:27.1;-52:09:38.3;0.125230;2.29e-15;J1554-5209;J1554-5209;RRAT;*;*;
921;15:54:40.5;-55:12:33;3.418039;3.12e-14;J1554-5512;J1554-5512;*;*;*;
922;15:55:40.0;-05:15:57.4;0.975410;2.05e-15;J1555-0515;J1555-0515;*;*;*;
923;15:55:33.1;-23:41:09.9;0.532578;6.94e-16;B1552-23;J1555-2341;*;*;*;
924;15:55:17.9;-31:34:20.1;0.518110;6.22e-17;B1552-31;J1555-3134;*;*;*;
925;15:56:51.5;-53:58:55;0.994681;1.04e-14;J1556-5358;J1556-5358;*;*;*;
926;15:57:00.2;-42:58:12.6;0.329187;3.30e-16;J1557-4258;J1557-4258;*;*;*;
927;15:58:41.4;-54:19:26;0.594575;6.04e-15;J1558-5419;J1558-5419;*;*;*;
928;15:58:30.5;-57:56:26.1;1.122342;1.86e-13;J1558-5756;J1558-5756;*;*;*;
929;15:59;-44:00;1.169890;*;J1559-44;J1559-44;*;*;*;
930;15:59:41.5;-44:38:45.9;0.257056;1.02e-15;B1556-44;J1559-4438;*;*;*;
